Ejecucion,Generacion,Mejor Aptitud
1,0,0.8713814622865625
1,1,0.8671899082454245
1,2,0.8667834909523495
1,3,0.8667834909523495
1,4,0.8667834909523495
1,5,0.8607269731328594
1,6,0.8607269731328594
1,7,0.8607269731328594
1,8,0.8586893362347544
1,9,0.849030996940756
1,10,0.849030996940756
1,11,0.849030996940756
1,12,0.849030996940756
1,13,0.849030996940756
1,14,0.846845232234159
1,15,0.846845232234159
1,16,0.846845232234159
1,17,0.844032827827966
1,18,0.844032827827966
1,19,0.844032827827966
1,20,0.844032827827966
1,21,0.8399692593693239
1,22,0.8399692593693239
1,23,0.8399692593693239
1,24,0.8399692593693239
1,25,0.8355135524957714
1,26,0.8281675872237427
1,27,0.8281675872237427
1,28,0.8228570100702606
1,29,0.8228570100702606
1,30,0.8228570100702606
1,31,0.8225037176086905
1,32,0.8174714341023422
1,33,0.8174714341023422
1,34,0.8131166479070503
1,35,0.8066797234125681
1,36,0.8066797234125681
1,37,0.8066797234125681
1,38,0.8066797234125681
1,39,0.8051799222754558
1,40,0.8036294253470536
1,41,0.8036294253470536
1,42,0.8031541318604151
1,43,0.8010791197537919
1,44,0.7994328087116075
1,45,0.792408923568694
1,46,0.7889953461928907
1,47,0.7840422631662955
1,48,0.7840422631662955
1,49,0.7840422631662955
1,50,0.7840422631662955
1,51,0.7840422631662955
1,52,0.7840422631662955
1,53,0.7812713426220339
1,54,0.7795606932744957
1,55,0.7789412547204632
1,56,0.7746645194759512
1,57,0.7745155789059267
1,58,0.7745155789059267
1,59,0.7745155789059267
1,60,0.7684146234010093
1,61,0.7684146234010093
1,62,0.7684146234010093
1,63,0.7645059001493542
1,64,0.75646719156037
1,65,0.75646719156037
1,66,0.7504022095636289
1,67,0.7504022095636289
1,68,0.7504022095636289
1,69,0.7481759683000064
1,70,0.7481759683000064
1,71,0.7476764889407557
1,72,0.742130494750673
1,73,0.742130494750673
1,74,0.7360496644934947
1,75,0.7360496644934947
1,76,0.7325065680402908
1,77,0.7309469704332076
1,78,0.7306221719391364
1,79,0.7306221719391364
1,80,0.7306221719391364
1,81,0.7259687801863655
1,82,0.7259687801863655
1,83,0.7259687801863655
1,84,0.7223579344267238
1,85,0.7223579344267238
1,86,0.7165362413632461
1,87,0.7165362413632461
1,88,0.7146355580767282
1,89,0.7143822422754833
1,90,0.712676450102985
1,91,0.7111344329767172
1,92,0.7098835899873362
1,93,0.7098835899873362
1,94,0.7098835899873362
1,95,0.7065497524077808
1,96,0.7056775673593643
1,97,0.7056775673593643
1,98,0.7043273342741615
1,99,0.703053379685879
1,100,0.703053379685879
2,0,0.8677053723237482
2,1,0.8677053723237482
2,2,0.8677053723237482
2,3,0.8654147456820396
2,4,0.8643660888751032
2,5,0.8556354485968664
2,6,0.8556354485968664
2,7,0.8556354485968664
2,8,0.8528125680081918
2,9,0.851387205585661
2,10,0.8448667623867769
2,11,0.8448667623867769
2,12,0.8448667623867769
2,13,0.8448667623867769
2,14,0.841796965683132
2,15,0.841796965683132
2,16,0.841796965683132
2,17,0.841796965683132
2,18,0.8410932346648652
2,19,0.8410932346648652
2,20,0.8410932346648652
2,21,0.8351116587807107
2,22,0.8340096295642205
2,23,0.8301952112230577
2,24,0.8276747121549544
2,25,0.8254538951333058
2,26,0.8245386948851698
2,27,0.8245386948851698
2,28,0.8245386948851698
2,29,0.8166933918005034
2,30,0.8155268586263806
2,31,0.8155268586263806
2,32,0.8155268586263806
2,33,0.8126903950293183
2,34,0.8126903950293183
2,35,0.8125261183012554
2,36,0.8064411500378755
2,37,0.8056486532377363
2,38,0.8042244499445369
2,39,0.8018958118244204
2,40,0.7935343910259741
2,41,0.7892108866861418
2,42,0.7892108866861418
2,43,0.7892108866861418
2,44,0.7891455347882371
2,45,0.7872222240964483
2,46,0.7856072989406937
2,47,0.7822395693996285
2,48,0.7725288937099132
2,49,0.7723771231864511
2,50,0.7632270413077333
2,51,0.7620988487713789
2,52,0.7541458796682301
2,53,0.7541458796682301
2,54,0.7541458796682301
2,55,0.7541458796682301
2,56,0.7522968675072002
2,57,0.751285050745896
2,58,0.74938388890871
2,59,0.7466631559171829
2,60,0.7466631559171829
2,61,0.7452157479279271
2,62,0.7452157479279271
2,63,0.7445034805614855
2,64,0.7417621587920591
2,65,0.7382713263226055
2,66,0.7357645720367507
2,67,0.7357645720367507
2,68,0.7357645720367507
2,69,0.7348022748800092
2,70,0.7315628912206446
2,71,0.7315628912206446
2,72,0.7259060837209356
2,73,0.7259060837209356
2,74,0.7244960819887775
2,75,0.7209823362872009
2,76,0.7209823362872009
2,77,0.7209823362872009
2,78,0.7206977200269957
2,79,0.7146335668631926
2,80,0.7146335668631926
2,81,0.7146335668631926
2,82,0.7146335668631926
2,83,0.7146335668631926
2,84,0.7146335668631926
2,85,0.7146335668631926
2,86,0.708115536851109
2,87,0.708115536851109
2,88,0.708115536851109
2,89,0.708115536851109
2,90,0.708115536851109
2,91,0.7059704289846032
2,92,0.7059704289846032
2,93,0.7059704289846032
2,94,0.7057713463704983
2,95,0.70306446845285
2,96,0.70306446845285
2,97,0.7019578326399455
2,98,0.7019578326399455
2,99,0.6895255279906318
2,100,0.6878017571821015
3,0,0.8738418900707279
3,1,0.8738418900707279
3,2,0.8715879160760294
3,3,0.8654564144254718
3,4,0.8654564144254718
3,5,0.8620145132227557
3,6,0.8616800106030289
3,7,0.8616800106030289
3,8,0.8600144107551693
3,9,0.8600144107551693
3,10,0.8584085919104621
3,11,0.8575413984351352
3,12,0.8528880999475238
3,13,0.8528880999475238
3,14,0.8508511212804031
3,15,0.8508511212804031
3,16,0.8485908434163377
3,17,0.84831812553885
3,18,0.8473386598371057
3,19,0.8419702432540893
3,20,0.8414982724626711
3,21,0.8414982724626711
3,22,0.8397816405998874
3,23,0.8323378258008287
3,24,0.8318027862699283
3,25,0.8318027862699283
3,26,0.8277685877430703
3,27,0.82196480462635
3,28,0.82196480462635
3,29,0.82196480462635
3,30,0.8193560379696453
3,31,0.8193560379696453
3,32,0.8126166332381838
3,33,0.8126166332381838
3,34,0.8126166332381838
3,35,0.8126166332381838
3,36,0.8041037342993399
3,37,0.8041037342993399
3,38,0.8014580425270121
3,39,0.7964684565706566
3,40,0.7964684565706566
3,41,0.7939416566815413
3,42,0.7928088714815708
3,43,0.7842592846261522
3,44,0.7842592846261522
3,45,0.7842592846261522
3,46,0.7842592846261522
3,47,0.7842592846261522
3,48,0.7842592846261522
3,49,0.7842592846261522
3,50,0.7842592846261522
3,51,0.7842592846261522
3,52,0.7842592846261522
3,53,0.7842592846261522
3,54,0.7786921366819628
3,55,0.7786921366819628
3,56,0.7749383654414667
3,57,0.7680033670761442
3,58,0.7680033670761442
3,59,0.7680033670761442
3,60,0.7563759571333187
3,61,0.7563759571333187
3,62,0.7563759571333187
3,63,0.7563759571333187
3,64,0.7563759571333187
3,65,0.7516481052546254
3,66,0.7516481052546254
3,67,0.7516481052546254
3,68,0.7516481052546254
3,69,0.7491169304842332
3,70,0.7489988187044092
3,71,0.7489988187044092
3,72,0.7424076545369457
3,73,0.7424076545369457
3,74,0.7424076545369457
3,75,0.741698116966592
3,76,0.739637356248297
3,77,0.7355351262207809
3,78,0.732386024830463
3,79,0.732386024830463
3,80,0.732386024830463
3,81,0.732386024830463
3,82,0.731287386195954
3,83,0.7268206024740974
3,84,0.7268206024740974
